PC1,PC2,PC3,PC4,PC5,Class
2.7961964463022873,-1.8252971376252336,0.5550437613111867,1.7575343409677529,-0.012756813046610282,0
2.6497587605294908,-1.5816908765561712,0.48747095274978997,1.4789432994853606,-0.14113138540564915,0
3.07240533666684,-3.649208324566597,-0.17628698836537987,3.316533793633869,-0.338150667744164,0
3.1724879038243063,-3.812972879173053,-0.24014930836848905,3.4883697035611303,-0.2977487948260912,0
1.756206181549653,-3.041706008657849,-0.23092844910274796,2.237994197583477,-0.7769584353964475,0
3.600627699686801,-5.209091324472048,-1.4622246138827126,4.628381392195764,-1.2399867278839205,0
3.350507898824916,-4.138999566063722,-0.6514113705703629,4.062512084273777,-1.3405508114051399,0
3.5277633922420586,-3.6540649874485154,-0.5154135823911262,3.8761557497460624,-1.487044572622652,0
3.0098813059665477,-2.8354976044968705,0.38872560408317824,3.149562125959094,-0.9128186784111767,0
3.0728093279325868,-4.4105256254971,-0.9999365146592142,3.8469194784961167,-1.225018920778377,0
2.9252152897840458,-4.339648058822045,-1.1780940117789733,3.5618258116169343,-1.241876768256601,0
2.8314902105296627,-4.233978701792123,-0.5932832873930892,3.7133385735424107,-0.8122765272904822,0
2.987595158448705,-2.834974726301966,0.22919396325014513,3.1386504667293353,-1.1324428100139403,0
2.8377255111498703,-2.8071909999572955,0.4150957653605854,3.0811006611650718,-0.9459857393411806,0
2.9632152457292578,-2.630592486792177,0.5294317268102798,3.0579016536586443,-0.9308746464726679,0
3.8364342477354034,-4.906710433442193,-0.6030506709346666,5.056341719503907,-1.1861774273865044,0
2.7998322383077596,-3.818752100025154,-0.5785884109155626,3.052791111750095,-0.3083388989128286,0
3.799623649306678,-4.928504191460366,-0.8217581045505487,4.92177361224563,-1.2339856063227468,0
3.5192339331784366,-3.715777235340321,0.18232206388025463,4.166143214173251,-0.7858234978707318,0
4.5910835294407395,-5.103505392075074,-0.3513365841568095,5.808834248583512,-0.9968986491752078,0
4.3767147479111115,-5.377858921461491,-0.37088058560589104,5.822097554761058,-0.7554008806366307,0
4.205781975923791,-5.643789091130255,-0.8393437387899312,5.735867737064894,-0.975949746086534,0
3.7561264896739037,-5.792702291649504,-1.0993679292788516,5.425100887187481,-0.8689372663469891,0
4.5298035449618235,-5.671675586018424,-0.6513158131779438,6.160777883162712,-1.1562070963876694,0
3.5608261042248452,-4.212653536797208,-0.8015713899663297,4.146769626980285,-1.3222589092520882,0
3.8698574460337993,-1.2434293090606097,0.21403303503072202,1.1419387308594606,0.7791635727455027,0
2.8053698502190336,-2.780893548749776,-1.1678881214574561,1.8851362624176005,-0.7856857886351245,0
3.4422909499704835,-3.2095973430249463,-1.2529572532214606,2.1578305252078533,-0.05606626195374912,0
2.7921423801642726,-2.3632586686091406,-1.2810849672815814,1.0560207073591488,-0.21468442497494197,0
2.482746765202101,-2.144495540972938,-0.6741102106610056,1.4855374477542302,-0.8948481585927585,0
3.5353975126351243,-2.574045873487802,-0.07911275304591495,2.433108840892704,0.002464830125739039,0
3.218656558710483,-2.230095539572998,-0.14305815633651808,1.5068502745232126,0.7277244601825104,0
4.335501219016226,-3.2349863641519,-0.1988420290151677,3.161129785517656,0.627079695703403,0
3.1037617657352534,-1.7777809059600498,0.312675458884109,1.05610602653824,1.3930500949933888,0
3.353875918756039,-1.9423937676228047,0.19652434618643919,1.6360467142363408,0.5741212655029633,0
3.5187177297815797,-2.010549608317145,-0.2109150030491167,1.398728074593768,0.7881542221095337,0
3.680013991310076,-2.4526215165224503,-0.3975839123500885,1.9678671495024858,0.40299015045071984,0
4.85254392769932,-3.977739269041268,-0.7489229535123733,3.907370683799192,0.383643476262642,0
4.492114197912911,-3.202968281582853,-0.28801103100172326,3.3303453874239164,0.272442190281166,0
3.426223633642675,-3.2416770873130574,-0.03564543520415454,3.5841791215367023,-1.066730903319788,0
4.81043326124217,-5.39016564785753,-1.4762793584988647,4.736704070591577,0.3448586359218366,0
4.719355831116981,-5.077384318991548,-1.155266133163075,4.6399793940162635,0.2708383839543352,0
4.3839978074071935,-3.9587427864245206,-0.8683276256671991,3.5584548958855384,0.3170117700043691,0
4.455636710998234,-4.32696442427387,-1.192339304597885,3.6049875110819283,0.5538187793340651,0
4.69474460007943,-4.093529590109545,-0.4882998445774101,3.9988070431283584,0.7244935363433609,0
4.35430738454877,-4.3555676185873144,-0.6352178813594161,4.097747677773249,0.35191916891991765,0
4.12654910870441,-4.209370950637856,-1.0987040797881353,3.504117530353788,0.25396267427166996,0
4.304585229713302,-4.491353500676323,-1.0859535368762114,3.922832187072586,0.23748942997147166,0
3.0992785912735616,-2.3364495668358654,-0.271004297228797,1.5750623145423233,0.4740853454288754,0
2.162016687497547,-0.9443066148702997,0.6772809577246343,-0.12625376768670887,1.6609319150894297,0
1.293894657579793,-0.3880951355426505,0.9365786003642322,0.2035896357638908,-0.6771896588859992,0
0.5586511134265782,-1.0752515627935455,-1.6373516045403507,-0.7198290389616752,-1.1920250317883907,0
1.8387155809041407,-0.4078263771843449,0.2977307341303511,0.3732769863932472,-1.2540763311318186,0
0.28768559751587164,-1.116773649511339,-1.465333159237739,-0.6720587402807471,-1.0109526609017414,0
1.0013044718929667,-0.6217598377104524,-0.36684664953422197,-0.06973321366658199,-1.3068044095078657,0
1.6713678431818149,-0.14068064475429448,0.6744499895392855,0.3798298923120175,-0.9233880011695121,0
0.5279895048238491,-1.22822582067502,-1.0501460701140874,-0.260588348845487,-1.1240927978120645,0
1.6099963996175817,-1.8354757836898246,-0.7028321112176895,0.6938893526279635,-0.48647245754796437,0
0.9441955102985529,-0.27060922103259477,-0.21693888115033116,-0.4358327791001791,-1.1918478057887079,0
1.5912733272380288,-1.1748393300763444,-1.2661182749226558,-0.10785621369556472,-1.464045764209405,0
1.6510663105864951,-0.41211937962960193,0.34289895866515424,-0.0379171401411823,0.033574287284757004,0
1.5567529194593182,-0.24938296544863112,0.41076769519740497,-0.16895484472105413,-0.0043378444425373475,0
3.158279499980979,-2.1501656324903005,0.37231252585416147,2.316130237199973,-0.3046780156186386,0
2.9330624166815458,-1.9494383100552768,0.015523411136024316,1.774809188504619,-0.41473581110607183,0
1.8418678726867326,-0.1231485463314196,0.43100765303986954,-0.3164346200930301,0.3667923774269566,0
2.6534770483693286,-1.0785124715109224,0.321624485142439,0.2986433927412796,1.4070328832065886,0
1.439331057433391,-0.2505088757374502,0.45633864089216936,-0.3676703121206034,-0.13675937340212915,0
1.2664098902478842,0.36039725220147134,0.33437342311543433,-0.8631062435383631,0.6157797217352059,0
2.06964266230758,-0.14231001183261216,0.45027005057944386,-0.5317328868563018,1.2185041829806718,0
1.5880632663146728,-0.41386110045245106,1.0724868925831208,-0.18855865532822635,0.9270983403990477,0
1.5591688078146226,0.24277123037924125,0.5797120003084398,-0.6266589811940629,-0.0900201009108961,0
1.2458499481992737,-0.021511649125043292,0.7140947547478084,-0.4418679965560979,-0.08320113855596063,0
1.4209612218820948,-0.2024894701879907,0.5840278427161052,-0.2633878016015285,-0.055611273052402245,0
1.3790849202451538,0.5484260778902376,0.6722729027823873,-0.9387850242684854,0.8588947895363143,0
1.5811578697328255,-0.5484967142129094,0.5984053596109805,-0.06832112493178538,0.4235606497078288,0
1.0114905971614967,0.2409743275414793,1.014849821058434,-0.2878172494661117,-0.9557966368184863,0
1.272770160499491,0.12115883248056755,0.6475251968074969,-0.08659223309423693,-0.8093810208370988,0
1.3178651615850954,0.06688085806782212,0.6504665487661743,-0.0661697821214818,-0.7727015239708598,0
1.0170625942881537,0.22431600321092932,1.0553568375828855,-0.2746267083148365,-0.9882896577780887,0
1.1836816045092293,0.3144661981749753,1.0786529223130759,-0.26227944713421014,-0.7483664683981719,0
1.5773466779105647,0.27415739798998573,1.0125707829937904,-0.23870492465238657,-0.44723801058806395,0
0.8111800981828335,0.06981250585920275,1.112222208928007,-0.07890646999382814,-0.7212029599351019,0
1.5850208224641862,-0.33213540660162605,0.3101024597708525,0.22565406591695839,-0.8761389826728011,0
0.9896183856247496,0.25858961762233196,1.0934530409599308,-0.22970106319032932,-1.057657289940813,0
0.915247704512762,-0.24534210646529006,0.974503989532971,-0.314158694540899,-0.05646856099517416,0
0.8531922352453181,-0.2793772664571716,1.1422946965176597,-0.2448000401589005,-0.01867622762261023,0
0.9428782951027348,-0.18266310237155492,1.0919001093876648,-0.27175050872806045,-0.09525756359029881,0
0.9123447783721559,-0.2902911643190566,0.9830915873566062,-0.2884626432920319,-0.008961784852665473,0
1.4216780845638248,-0.9569146857102044,0.7143729161958495,0.09495252140153539,0.6299482428788831,0
1.0460333206354198,-0.6399489998209064,0.7660936325777501,-0.1405532844333521,0.1014077390240083,0
0.9694586557140442,-0.5585359093669695,0.9518477685728908,-0.1054568070158113,-0.0030251785860331446,0
1.7856181335853767,-1.7142961967717936,0.013421810219604284,1.4609585942585497,-1.4590474156001694,0
1.542424510611971,-0.5458441607236302,0.8498992851065003,0.6467221408359919,-1.0603483040880777,0
1.6361944280359593,-1.5331331087248243,0.14763442218167863,1.2367590980998602,-1.4569606957215815,0
1.8260541419661782,-0.9578673759187534,0.7995259769706315,1.1095807763656595,-1.029397449146758,0
1.5466291750110266,-0.9270914302320642,0.4381731464781495,0.898003413703405,-1.3830725671151405,0
2.1653859499388695,-1.9736689932385918,-0.23486639541601081,1.7829429142689468,-1.3685802873674562,0
2.825304506431768,-2.8448422214806124,0.2386116888595477,3.032088483476588,-1.0613471315081418,0
2.153752118203423,-2.108554204952076,-0.09310985438437053,1.9847095683092717,-1.371869877842592,0
2.2423305406714906,-1.415908766732083,0.6570706698538307,1.606499052156316,-0.855429469363342,0
2.6421288553868494,-1.841856907363674,0.47019114424791086,1.9675446794743656,-0.6095806161257569,0
