,PC1,PC2,PC3,PC4,PC5
R,0.5362407567258219,0.41505389525082725,-0.29928468870364655,-0.013268140228173903,-0.6711398858849623
H_hsv,0.6329032803919469,0.1809867583198683,-0.1499518279239729,-0.2618340555305442,0.6896626767113513
Contrast,0.43056585074167414,-0.5084636575297736,-0.009741589630146574,0.7453958523856579,0.019180245678304227
Correlation,0.14134434345363783,0.46687024742897354,0.8369063416889277,0.247156241954294,0.023569385718674042
Energy,-0.32636500002909197,0.5643322942974611,-0.43293879600025936,0.5608615685965676,0.2702096374266074
