R,G,B,H_hsv,S_hsv,V,H_hsi,S_hsi,I,Contrast,Correlation,Energy,Homogeneity,Class
154.21875,157.265625,157.6533203125,60.8544921875,33.7763671875,166.65234375,121.78174672281648,8.411608632007471,61.325188929738566,464.1532258064516,0.9025001729900961,0.025700703193512017,0.08281331774771272,0
160.83203125,163.6552734375,160.3515625,59.193359375,28.7568359375,170.150390625,118.41330033935728,6.847288997008036,63.377629697712415,418.4173387096774,0.8982727336451067,0.026565895066742815,0.09771719692614347,0
144.630859375,126.0439453125,112.119140625,40.009765625,66.40234375,147.4375,79.91355571588565,15.518968316987053,50.03842422385621,719.0675403225806,0.7774768435539038,0.025100604028203088,0.06382057064054622,0
143.4052734375,125.09765625,111.6650390625,40.8134765625,65.92578125,146.34375,81.54149465557389,15.379962461195325,49.69515931372549,748.5877016129032,0.7688384134607436,0.02546236076676429,0.0647498858950068,0
138.2255859375,120.45703125,106.98046875,17.4169921875,60.1591796875,138.640625,34.535470061670466,12.954182576878921,47.799096200980394,524.3659274193548,0.7506004596908868,0.027762982568387922,0.07840887652935943,0
174.966796875,154.7548828125,124.9697265625,17.8623046875,75.087890625,174.966796875,36.17810645358142,18.31056556785452,59.43678513071895,949.1028225806454,0.6070802996985682,0.024958504845040218,0.04351601613855499,0
182.0634765625,160.3916015625,130.0791015625,17.634765625,75.7216796875,182.0634765625,35.70688757128831,18.40891896027572,61.76917381535948,824.0937500000002,0.7265731439159911,0.024589336527521106,0.04675058706300627,0
199.8310546875,180.0341796875,137.365234375,21.5478515625,81.8955078125,199.9443359375,43.83277355986,21.039146509285843,67.61182598039215,787.944556451613,0.7642821868959532,0.0250600864811614,0.05850064683918589,0
170.703125,150.0810546875,123.748046875,29.87890625,85.921875,174.181640625,60.183650320880716,22.079427401038703,58.10878778594771,651.9546370967743,0.8717144740780051,0.024589336527521106,0.06359672076439794,0
170.4990234375,143.1220703125,109.32421875,16.5126953125,94.7197265625,170.4990234375,33.28063367162129,23.649048542871814,55.286968954248366,808.3326612903227,0.6658749438971414,0.02453762388031872,0.04270170465846551,0
171.4306640625,144.462890625,110.7333984375,16.7939453125,93.048828125,171.4306640625,33.815575157230214,23.17299413504567,55.76822916666667,772.484879032258,0.6410670153937399,0.024568664530149074,0.04359832596530596,0
147.9130859375,127.552734375,103.7998046875,20.75,81.076171875,148.892578125,41.71004093335286,19.906509066320016,49.57720588235294,774.9536290322582,0.7095070791225156,0.025966223533046895,0.07539045181080589,0
179.853515625,162.1611328125,127.6376953125,25.6162109375,83.1591796875,181.5888671875,51.958406527134606,21.719576510662797,61.392463235294116,649.5715725806454,0.8544827056069929,0.024999187031526707,0.07394530720019868,0
167.4482421875,149.1552734375,120.1220703125,26.4140625,85.9150390625,170.779296875,53.3840381293891,22.32251923065429,57.088311887254896,635.7500000000001,0.8709082769029417,0.02508035343674341,0.07025085156128136,0
172.2607421875,155.40234375,125.3828125,29.8173828125,88.3759765625,176.6328125,60.33098222795,23.8165496376836,59.22168607026144,629.5332661290324,0.8936579102364957,0.02509048077551138,0.06875631083594341,0
172.625,153.791015625,125.8994140625,17.8681640625,71.77734375,172.625,36.15539074083117,17.281019849441392,59.12619995915033,979.0383064516129,0.7265736977959903,0.024088312793041373,0.05092649950002577,0
139.015625,123.72265625,110.603515625,38.373046875,55.3408203125,140.197265625,76.68974039135647,12.554583132948949,48.802849264705884,693.3074596774193,0.7155139905559557,0.026112568239896407,0.06397277923584094,0
176.1416015625,157.7138671875,129.302734375,18.1083984375,70.44921875,176.1416015625,36.70131485118303,17.04070888883509,60.54355596405229,967.0544354838709,0.6987718996091662,0.02430878135441027,0.056429493886523435,0
164.263671875,151.029296875,132.17578125,30.3525390625,69.8701171875,167.970703125,61.29992382244883,18.703111829488357,58.492647058823536,816.8497983870969,0.8409660991980645,0.025720465367284426,0.0558840912512808,0
178.140625,166.01953125,140.708984375,28.2490234375,64.84765625,180.20703125,57.169174146418904,16.890351827438163,63.38158700980392,1092.930443548387,0.7762407890574619,0.024340113846067813,0.05177049498517794,0
158.9365234375,145.9697265625,125.1015625,27.6552734375,65.994140625,161.5302734375,55.88198094626979,16.65836502520583,56.21017156862745,1100.0735887096776,0.7564436402515279,0.024204046781336634,0.05395032479291593,0
163.2900390625,148.189453125,123.01953125,21.029296875,66.4375,163.7333984375,42.60820418966955,16.196669455249527,56.79725796568628,1099.8054435483873,0.6887446450525321,0.02422502992076193,0.04474834056882234,0
148.693359375,128.6904296875,102.9775390625,17.421875,80.8837890625,148.693359375,35.117964539939365,19.622864172392458,49.72043504901961,1060.0040322580644,0.637992261467852,0.025322291707823526,0.05013996983034867,0
174.3193359375,154.701171875,122.8994140625,19.0703125,78.55859375,174.3193359375,38.63325195916578,19.441902742949914,59.07449959150326,1153.473790322581,0.7234860989435034,0.023737725482493182,0.046011220534855124,0
187.734375,170.5107421875,140.3564453125,21.7177734375,66.8916015625,188.01953125,44.03902720887894,16.291541458845103,65.17667483660131,846.319556451613,0.7135472891309559,0.024846285370698065,0.05340997119579661,0
173.958984375,174.345703125,180.75390625,108.2861328125,19.0380859375,181.7978515625,216.86995210561975,4.363210417145342,69.15798611111111,432.546370967742,0.9030418058371146,0.02549227543629394,0.07709753667197013,0
186.1728515625,179.5576171875,173.994140625,46.248046875,21.908203125,187.787109375,94.07049545622831,4.5064693466713415,70.55223651960785,531.8729838709677,0.6787670725628132,0.028135656727727547,0.10054099933611202,0
171.0068359375,166.337890625,167.51953125,69.9150390625,16.248046875,174.400390625,139.63990578941804,2.8143083140727896,65.99532781862746,613.8306451612904,0.6672160344282113,0.025828887047014023,0.06327728820709017,0
177.59375,171.37109375,172.3583984375,67.6103515625,21.4326171875,182.2314453125,135.36521511312768,3.8769502994109812,68.14682904411765,436.79536290322585,0.6676504410322889,0.027338813754678667,0.09400187254469038,0
187.265625,180.0166015625,173.9970703125,42.138671875,22.4111328125,188.4716796875,86.60907611094134,4.605001636809715,70.75546364379085,443.34375,0.7460526853194966,0.028027094303342423,0.0969164906820783,0
166.9921875,179.759765625,172.9921875,68.876953125,23.6875,180.8134765625,137.82617204522228,5.425790881129523,67.94041053921569,603.6552419354839,0.8298332508068043,0.025472336226800958,0.07953158673184187,0
142.943359375,157.736328125,164.6611328125,87.75,40.8095703125,167.9765625,175.37498598776227,9.153677223895818,60.828865400326805,489.75302419354836,0.8119745008030976,0.025532107140955523,0.06867737738866467,0
155.1123046875,173.6533203125,178.72265625,88.6962890625,45.1416015625,182.44140625,177.00470691873525,11.340250539326465,66.33833741830065,746.3124999999999,0.8177681189915177,0.02528212944351704,0.06606232021812979,0
120.4697265625,139.7392578125,164.171875,103.66015625,68.8984375,164.2919921875,207.45303770158847,17.30374572843412,55.474622140522875,419.7016129032258,0.8693709526647071,0.02635467028709954,0.06921668224515028,0
152.498046875,168.3681640625,170.439453125,86.1201171875,32.8525390625,173.0947265625,171.95043929638928,8.006875708655189,64.22296262254902,489.98185483870964,0.8676185537589939,0.025611584709501006,0.08623230722479923,0
154.5693359375,150.6279296875,159.810546875,97.271484375,31.625,166.1318359375,194.96874853017815,6.181417823927982,60.78533496732025,482.6905241935484,0.8194769695146398,0.025936855504573805,0.06642426259058967,0
165.029296875,160.7255859375,166.90234375,86.06640625,30.2451171875,175.32421875,172.7138549868215,5.78101333572308,64.39963745915033,564.9465725806451,0.7946098069073402,0.02571058617914687,0.078397697073101,0
169.423828125,166.6357421875,173.18359375,85.9921875,27.30859375,179.166015625,172.79652814620525,5.906700523532038,66.56773386437908,879.8366935483871,0.7514462534198727,0.02539242281816532,0.06560505541568078,0
173.044921875,170.4873046875,174.3779296875,83.453125,28.701171875,181.48046875,167.79759091410912,6.995100525496598,67.70067401960785,766.0836693548389,0.8172811908066817,0.025452381397081853,0.06951980295536647,0
184.6220703125,175.8779296875,168.041015625,30.9140625,26.046875,184.9951171875,62.108188443770125,5.304289523494724,69.09032883986929,733.984879032258,0.8260766583489595,0.025352371653143732,0.0679759460503574,0
150.6748046875,160.8037109375,158.2763671875,73.1728515625,18.703125,161.68359375,148.4169495798931,4.361833434744559,61.40586703431372,1032.6693548387098,0.6236591453930405,0.02488715099925103,0.051343025337276,0
152.462890625,161.7509765625,157.5556640625,70.87109375,18.9140625,162.501953125,143.8167308005886,4.395209197016566,61.66921977124183,1000.9506048387098,0.668581462884347,0.02463062847352947,0.049765168952378945,0
161.533203125,173.271484375,171.029296875,78.9296875,25.466796875,176.251953125,157.8322727340245,5.724835890092081,66.12208946078431,825.4223790322579,0.7221763275558978,0.02545238139708185,0.06580007439227838,0
152.7099609375,164.8544921875,165.2470703125,84.4130859375,28.052734375,168.7021484375,168.81993523998452,6.492552882162552,63.11261744281046,855.4747983870967,0.6725118685681981,0.025422419784109862,0.04277068989283149,0
147.45703125,159.6962890625,161.5087890625,87.56640625,30.671875,163.6474609375,175.16812225633544,7.7287878161584445,61.26302083333333,887.1159274193548,0.7720331418294342,0.02600532931353716,0.06392661094861757,0
147.5263671875,157.3505859375,152.0732421875,71.470703125,21.15234375,158.11328125,142.85469621999619,4.8972645790689375,59.7320516748366,893.4264112903226,0.7388645828477991,0.02533232232485698,0.05836318508798284,0
155.0478515625,165.88671875,161.087890625,72.6904296875,22.95703125,167.171875,145.23127552858574,5.366821354430144,63.009472017973856,822.7822580645161,0.6790505082048982,0.0252620243672211,0.05765202176262104,0
154.056640625,164.666015625,159.2490234375,70.8076171875,22.125,165.5078125,141.52605110403448,5.20425997128644,62.47995812908498,884.1320564516128,0.6799206008207793,0.02554205536153211,0.06374013603499941,0
147.9013671875,159.265625,157.517578125,79.5009765625,28.083984375,162.8974609375,158.82619446765887,6.403424720550484,60.74308108660131,495.5110887096774,0.7925414474211664,0.025680925812211687,0.06527657918702391,0
98.919921875,111.2578125,130.0458984375,103.490234375,65.2783203125,130.228515625,207.15493333495482,15.667585528211918,44.47367749183007,222.50907258064518,0.9022409603127993,0.02742231957406339,0.09872858460332234,0
161.361328125,159.0048828125,156.765625,36.2900390625,23.939453125,165.462890625,73.77165138215415,6.2490979553260235,62.37017463235294,169.65120967741933,0.947669004212807,0.02882253720866088,0.1187377132368985,0
183.7265625,182.61328125,175.9345703125,26.546875,10.9326171875,183.76171875,53.60035335426825,2.6852458264413874,70.88554432189542,95.77217741935483,0.6109881157027583,0.040177410047136354,0.1550184545245074,0
204.2373046875,203.837890625,197.76953125,36.12890625,20.1904296875,209.298828125,72.0264560859386,4.968027020016243,79.19538909313727,211.9112903225807,0.8953000031169864,0.029810429602058968,0.10665703320801968,0
166.9677734375,164.2490234375,160.23828125,23.7060546875,10.849609375,167.1455078125,47.64736898077584,2.302588400494731,64.242493872549,89.06249999999999,0.6232113812903475,0.04260787138187108,0.1543736911404097,0
189.3974609375,187.2177734375,178.8310546875,24.16015625,14.4404296875,189.4873046875,48.71653241526812,3.4276211269919585,72.60735804738562,145.38810483870972,0.7895909677647118,0.0363253079571114,0.16686297352004895,0
