R,H_hsv,Contrast,Correlation,Energy,Class
154.21875,60.8544921875,464.1532258064516,0.902500172990096,0.025700703193512,0
160.83203125,59.193359375,418.4173387096774,0.8982727336451067,0.0265658950667428,0
144.630859375,40.009765625,719.0675403225806,0.7774768435539038,0.025100604028203,0
143.4052734375,40.8134765625,748.5877016129032,0.7688384134607436,0.0254623607667642,0
138.2255859375,17.4169921875,524.3659274193548,0.7506004596908868,0.0277629825683879,0
174.966796875,17.8623046875,949.1028225806454,0.6070802996985682,0.0249585048450402,0
182.0634765625,17.634765625,824.0937500000002,0.7265731439159911,0.0245893365275211,0
199.8310546875,21.5478515625,787.944556451613,0.7642821868959532,0.0250600864811614,0
170.703125,29.87890625,651.9546370967743,0.8717144740780051,0.0245893365275211,0
170.4990234375,16.5126953125,808.3326612903227,0.6658749438971414,0.0245376238803187,0
171.4306640625,16.7939453125,772.484879032258,0.6410670153937399,0.024568664530149,0
147.9130859375,20.75,774.9536290322582,0.7095070791225156,0.0259662235330468,0
179.853515625,25.6162109375,649.5715725806454,0.8544827056069929,0.0249991870315267,0
167.4482421875,26.4140625,635.7500000000001,0.8709082769029417,0.0250803534367434,0
172.2607421875,29.8173828125,629.5332661290324,0.8936579102364957,0.0250904807755113,0
172.625,17.8681640625,979.0383064516128,0.7265736977959903,0.0240883127930413,0
139.015625,38.373046875,693.3074596774193,0.7155139905559557,0.0261125682398964,0
176.1416015625,18.1083984375,967.0544354838707,0.6987718996091662,0.0243087813544102,0
164.263671875,30.3525390625,816.8497983870969,0.8409660991980645,0.0257204653672844,0
178.140625,28.2490234375,1092.930443548387,0.7762407890574619,0.0243401138460678,0
158.9365234375,27.6552734375,1100.0735887096776,0.7564436402515279,0.0242040467813366,0
163.2900390625,21.029296875,1099.8054435483873,0.6887446450525321,0.0242250299207619,0
148.693359375,17.421875,1060.0040322580644,0.637992261467852,0.0253222917078235,0
174.3193359375,19.0703125,1153.473790322581,0.7234860989435034,0.0237377254824931,0
187.734375,21.7177734375,846.319556451613,0.7135472891309559,0.024846285370698,0
173.958984375,108.2861328125,432.546370967742,0.9030418058371146,0.0254922754362939,0
186.1728515625,46.248046875,531.8729838709677,0.6787670725628132,0.0281356567277275,0
171.0068359375,69.9150390625,613.8306451612904,0.6672160344282113,0.025828887047014,0
177.59375,67.6103515625,436.79536290322585,0.6676504410322889,0.0273388137546786,0
187.265625,42.138671875,443.34375,0.7460526853194966,0.0280270943033424,0
166.9921875,68.876953125,603.6552419354839,0.8298332508068043,0.0254723362268009,0
142.943359375,87.75,489.7530241935484,0.8119745008030976,0.0255321071409555,0
155.1123046875,88.6962890625,746.3124999999999,0.8177681189915177,0.025282129443517,0
120.4697265625,103.66015625,419.7016129032258,0.8693709526647071,0.0263546702870995,0
152.498046875,86.1201171875,489.9818548387096,0.8676185537589939,0.025611584709501,0
154.5693359375,97.271484375,482.6905241935484,0.8194769695146398,0.0259368555045738,0
165.029296875,86.06640625,564.9465725806451,0.7946098069073402,0.0257105861791468,0
169.423828125,85.9921875,879.8366935483871,0.7514462534198727,0.0253924228181653,0
173.044921875,83.453125,766.0836693548389,0.8172811908066817,0.0254523813970818,0
184.6220703125,30.9140625,733.984879032258,0.8260766583489595,0.0253523716531437,0
150.6748046875,73.1728515625,1032.6693548387098,0.6236591453930405,0.024887150999251,0
152.462890625,70.87109375,1000.9506048387098,0.668581462884347,0.0246306284735294,0
161.533203125,78.9296875,825.4223790322579,0.7221763275558978,0.0254523813970818,0
152.7099609375,84.4130859375,855.4747983870967,0.6725118685681981,0.0254224197841098,0
147.45703125,87.56640625,887.1159274193548,0.7720331418294342,0.0260053293135371,0
147.5263671875,71.470703125,893.4264112903226,0.7388645828477991,0.0253323223248569,0
155.0478515625,72.6904296875,822.7822580645161,0.6790505082048982,0.0252620243672211,0
154.056640625,70.8076171875,884.1320564516128,0.6799206008207793,0.0255420553615321,0
147.9013671875,79.5009765625,495.5110887096774,0.7925414474211664,0.0256809258122116,0
98.919921875,103.490234375,222.5090725806452,0.9022409603127992,0.0274223195740633,0
161.361328125,36.2900390625,169.65120967741933,0.947669004212807,0.0288225372086608,0
183.7265625,26.546875,95.77217741935485,0.6109881157027583,0.0401774100471363,0
204.2373046875,36.12890625,211.9112903225807,0.8953000031169864,0.0298104296020589,0
166.9677734375,23.7060546875,89.06249999999999,0.6232113812903475,0.042607871381871,0
189.3974609375,24.16015625,145.38810483870972,0.7895909677647118,0.0363253079571114,0
188.6025390625,39.580078125,188.79637096774195,0.9461455530996974,0.0347745732069764,0
168.404296875,20.1376953125,142.2116935483871,0.6743762975320393,0.0381735811063739,0
157.6181640625,42.0400390625,314.70463709677426,0.7234627661415345,0.0330900152463101,0
189.2958984375,29.6943359375,90.5483870967742,0.8127057295334553,0.0355047706962829,0
212.427734375,33.677734375,204.53024193548384,0.6772664973938421,0.0297507148455115,0
155.6494140625,62.8486328125,170.27419354838713,0.8878950881201052,0.0355548227591701,0
156.837890625,61.857421875,144.61088709677418,0.8981852106265344,0.0359032335050567,0
169.2998046875,56.25,548.8034274193549,0.8879017136513918,0.0261417388707458,0
176.7958984375,56.6533203125,479.4385080645162,0.8433446877335657,0.0264316746010622,0
154.4501953125,77.0654296875,139.48387096774192,0.9087505599887716,0.035425974578237,0
122.80078125,105.1416015625,291.1804435483872,0.8793343734173616,0.0306342165302877,0
157.5576171875,58.1494140625,121.40826612903224,0.8944569750105553,0.0311604466049873,0
142.544921875,78.68359375,36.16834677419356,0.9009041053759048,0.0450820156753989,0
131.501953125,101.0859375,135.27016129032262,0.9094947540250718,0.0360092159263946,0
113.2490234375,78.40234375,155.44758064516128,0.9577222940112972,0.030442880787382,0
167.734375,65.73046875,76.11189516129033,0.9288004462620896,0.0331130397291468,0
151.53515625,56.2041015625,91.80846774193547,0.9276811070467385,0.033128380494264,0
153.37109375,58.3515625,126.68346774193546,0.912892609006982,0.0332966624292615,0
136.322265625,86.1259765625,24.38407258064516,0.9455116901008394,0.0431117031861756,0
134.119140625,68.0634765625,172.7631048387097,0.9048483881697604,0.0327504631950467,0
175.306640625,31.984375,75.74596774193547,0.9705100770503586,0.0311114906492156,0
180.2607421875,39.5771484375,113.79939516129032,0.9378791065301264,0.0369287481532544,0
179.05859375,40.751953125,121.05846774193552,0.9366140424714552,0.0360021601379608,0
175.5849609375,31.0185546875,78.0171370967742,0.974021720317151,0.0300057985204379,0
173.521484375,39.6396484375,82.57258064516128,0.9852286192417636,0.0321397148526811,0
174.1064453125,53.5703125,107.26310483870968,0.984564962641182,0.0311114906492156,0
156.970703125,29.978515625,94.21370967741936,0.9741442630066924,0.0350438372898562,0
186.2900390625,40.7568359375,182.99294354838716,0.8931808883518343,0.0349276535061903,0
177.283203125,28.66796875,78.31048387096774,0.9804077181096256,0.0306756533360946,0
133.2021484375,46.8671875,99.26612903225804,0.9394924686439008,0.0312093257669611,0
127.025390625,44.9404296875,104.04032258064515,0.9554708771319506,0.0303844090183498,0
134.755859375,46.048828125,100.39112903225804,0.9563292972685278,0.0307996292690568,0
130.4599609375,47.3212890625,104.06451612903226,0.938687794926044,0.0311767481737744,0
112.662109375,65.2158203125,203.17036290322585,0.8963756758406978,0.0297677884278899,0
126.24609375,50.1259765625,144.42943548387098,0.9044376486631688,0.0299210122573706,0
126.5830078125,45.7373046875,138.42741935483875,0.926991540493854,0.0292599299872983,0
186.166015625,16.0419921875,379.335685483871,0.8246733473232795,0.0282617858243471,0
178.560546875,28.958984375,228.6149193548388,0.946406663835757,0.0292772897811645,0
183.99609375,15.373046875,341.85483870967744,0.8390541958439419,0.0270773710051679,0
177.02734375,29.34765625,306.81249999999994,0.9369362307296848,0.027981735648754,0
187.55859375,19.955078125,272.5514112903226,0.8905794662636365,0.0298444986755795,0
191.416015625,22.45703125,441.5917338709677,0.8015654498141683,0.0298104296020589,0
172.8623046875,24.7255859375,633.069556451613,0.8491892073763453,0.025100604028203,0
